Ranking:	Tweet:	Score:
0	Pres. Trump on his confidence in AG Barr after Barr said recently he saw no fraud in 2020 election results: “Ask me… https://t.co/aSi3tRERXZ	0.3536
1	-1227763085812828095 5006874107986988151 recap: ▪︎Trump said election will be rigged if he lost. ▪︎Trump LOST but claims he won… https://t.co/1wGUnHOMlV	0.3162
2	Trump said world leaders complained to him about the election results — but most of them have already congratulated… https://t.co/HaY4JKSJEE	0.3162
3	Wisconsin Supreme Court Ducks Trump Campaign Claims of Election Improprieties https://t.co/wiMVXYvPfd. WISC COURT IS CORRUPT. RT	0.3162
4	-8037125131728805462 1889898132415048221 Slowdowns at USPS didn’t win Trump the election, so now he’ll claim USPS was tampering with ballots?	0.3162
5	-332345427562249690 recap: ▪︎Trump said election will be rigged if he lost. ▪︎Trump LOST but claims he won, tells suppor… https://t.co/9qxEJbcVAF	0.3162
6	3248090626757401008 recap: ▪︎Trump said election will be rigged if he lost. ▪︎Trump LOST but claims he won, tells supporters NOT… https://t.co/tNcuWU9j5m	0.3162
7	-5757592165399500103 -8037125131728805462 3047049286575717575 FYI: This is the ACTUAL reason why Trump says he’ll veto the Defense Bill.… https://t.co/07g5G49Dnq	0.3162
8	-8037125131728805462 FYI: This is the ACTUAL reason why Trump says he’ll veto the Defense Bill. The bill contains ANTI-… https://t.co/1hTPM3j6EC	0.3162
9	-8037125131728805462 FYI: This is the ACTUAL reason why Trump says he’ll veto the Defense Bill. The bill contains ANTI-… https://t.co/QmJUKIw78w	0.3162
10	7864445531959697819 -8037125131728805462 FYI: This is the ACTUAL reason why Trump says he’ll veto the Defense Bill. The bill… https://t.co/9EIdEcZtRh	0.3162
11	-8037125131728805462 FYI: This is the ACTUAL reason why Trump says he’ll veto the Defense Bill. The bill contains ANTI-… https://t.co/FfHhwVpv0Z	0.3162
12	-8037125131728805462 FYI: This is the ACTUAL reason why Trump says he’ll veto the Defense Bill. The bill contains ANTI-… https://t.co/NYLfhRSMe6	0.3162
13	-8037125131728805462 FYI: This is the ACTUAL reason why Trump says he’ll veto the Defense Bill. The bill contains ANTI-… https://t.co/fsTG9xxLZn	0.3162
14	-8037125131728805462 FYI: This is the ACTUAL reason why Trump says he’ll veto the Defense Bill. The bill contains ANTI-… https://t.co/3OlNB5yBv4	0.3162
15	9209181716407447387 -8037125131728805462 3047049286575717575 FYI: This is the ACTUAL reason why Trump says he’ll veto the Defense Bill… https://t.co/0kGmpWxBYR	0.3162
16	987366570789574340 -8037125131728805462 3047049286575717575 FYI: This is the ACTUAL reason why Trump says he’ll veto the Defense Bill… https://t.co/4AuHbXVots	0.3162
17	-8037125131728805462 3047049286575717575 FYI: This is the ACTUAL reason why Trump says he’ll veto the Defense Bill. The bill con… https://t.co/cdFv9W2XRB	0.3162
18	-3464614928640339544 Dude this is fake like trump's fraud election claims, just stop it! The real results will be when final software is ready.	0.3162
19	6967253452160566609 -8037125131728805462 3047049286575717575 FYI: This is the ACTUAL reason why Trump says he’ll veto the Defense Bill. T… https://t.co/nu2v4h965O	0.3162
